#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:P dur:2 cpbdur:2 q:33.95 aq:28.49 tex:117477 mv:41549 misc:6894 imb:1087 pmb:3555 smb:3518 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:33.76 aq:28.37 tex:119882 mv:42886 misc:6720 imb:1133 pmb:3622 smb:3405 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:34.25 aq:27.11 tex:457439 mv:63897 misc:1472 imb:4790 pmb:3191 smb:179 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:34.01 aq:29.35 tex:52044 mv:40380 misc:7384 imb:684 pmb:2862 smb:4614 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:34.09 aq:26.83 tex:156208 mv:45328 misc:6392 imb:1298 pmb:3904 smb:2958 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:34.12 aq:26.44 tex:135721 mv:48048 misc:6335 imb:1458 pmb:3947 smb:2755 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:34.14 aq:27.01 tex:149057 mv:46842 misc:6029 imb:1250 pmb:3879 smb:3031 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:34.16 aq:26.79 tex:127427 mv:46634 misc:6387 imb:1394 pmb:3792 smb:2974 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:34.16 aq:27.30 tex:130002 mv:45344 misc:6278 imb:1101 pmb:3800 smb:3259 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:34.19 aq:27.25 tex:140510 mv:44153 misc:6441 imb:1061 pmb:3672 smb:3427 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:34.20 aq:27.80 tex:141010 mv:43158 misc:6432 imb:1071 pmb:3639 smb:3450 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:34.21 aq:28.13 tex:108953 mv:41691 misc:6484 imb:992 pmb:3543 smb:3625 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:34.19 aq:28.65 tex:113267 mv:40212 misc:6689 imb:982 pmb:3427 smb:3751 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:34.16 aq:28.45 tex:102794 mv:38356 misc:6458 imb:964 pmb:3235 smb:3961 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:34.61 aq:27.11 tex:416792 mv:62635 misc:1725 imb:4626 pmb:3199 smb:335 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:34.39 aq:29.01 tex:40111 mv:35180 misc:7077 imb:531 pmb:2638 smb:4991 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:34.61 aq:27.21 tex:136301 mv:39845 misc:6726 imb:1153 pmb:3634 smb:3373 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:34.61 aq:27.05 tex:114553 mv:40427 misc:6644 imb:1157 pmb:3623 smb:3380 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:34.63 aq:27.90 tex:126550 mv:37721 misc:6545 imb:932 pmb:3476 smb:3752 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:34.61 aq:27.64 tex:98150 mv:33152 misc:6674 imb:907 pmb:3075 smb:4178 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:34.59 aq:28.38 tex:117747 mv:31904 misc:6125 imb:726 pmb:3153 smb:4281 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:34.58 aq:27.91 tex:99902 mv:28049 misc:6377 imb:600 pmb:2820 smb:4740 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:34.57 aq:29.13 tex:117985 mv:28558 misc:6033 imb:683 pmb:2760 smb:4717 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:34.52 aq:28.58 tex:96628 mv:32121 misc:6227 imb:783 pmb:2978 smb:4399 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:34.48 aq:28.78 tex:102390 mv:33853 misc:6237 imb:849 pmb:2991 smb:4320 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:34.42 aq:29.31 tex:98151 mv:33982 misc:6395 imb:839 pmb:2966 smb:4355 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:34.68 aq:27.22 tex:419351 mv:63328 misc:1953 imb:4385 pmb:3356 smb:419 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:34.55 aq:29.59 tex:37383 mv:31558 misc:6739 imb:517 pmb:2413 smb:5230 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:34.65 aq:27.35 tex:137443 mv:41740 misc:6497 imb:1245 pmb:3612 smb:3303 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:34.60 aq:27.16 tex:128333 mv:43183 misc:6404 imb:1172 pmb:3643 smb:3345 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:34.57 aq:27.53 tex:151095 mv:43252 misc:6221 imb:1228 pmb:3670 smb:3262 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:34.52 aq:27.87 tex:128092 mv:43648 misc:6396 imb:1208 pmb:3644 smb:3308 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:34.48 aq:27.57 tex:133419 mv:41667 misc:6354 imb:1051 pmb:3510 smb:3599 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:34.42 aq:27.11 tex:160934 mv:43594 misc:6168 imb:1140 pmb:3583 smb:3437 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:34.39 aq:28.39 tex:59261 mv:9527 misc:5660 imb:235 pmb:1654 smb:6271 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:34.30 aq:28.28 tex:112451 mv:39269 misc:6328 imb:1114 pmb:3097 smb:3949 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:34.25 aq:28.81 tex:122841 mv:42564 misc:6147 imb:1177 pmb:3404 smb:3579 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:34.20 aq:29.12 tex:116105 mv:41791 misc:6240 imb:1152 pmb:3337 smb:3671 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:34.42 aq:27.30 tex:476914 mv:64554 misc:1164 imb:4660 pmb:3387 smb:113 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:34.31 aq:29.67 tex:52829 mv:42023 misc:7124 imb:704 pmb:2870 smb:4586 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:34.40 aq:27.77 tex:172298 mv:43798 misc:6272 imb:1253 pmb:3665 smb:3242 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:34.40 aq:27.23 tex:155327 mv:48791 misc:5866 imb:1374 pmb:3934 smb:2852 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:34.41 aq:27.18 tex:158849 mv:48374 misc:6065 imb:1332 pmb:3886 smb:2942 d:- ref:0 ;
